bohf,innbyggere,pasienter,kontakter_poli,polikont_pr_pas,rate2018,rate2019,rate2020,ratesnitt,off_rate,priv_rate,andel_off_poli,andel_priv_poli
Finnmark,60708,671,221,0.3291956306,2.8308,3.8174,4.8393,3.8245,3.5223,0.3022,0.9209923968,0.0790076032
UNN,155601,1915,594,0.3100087032,3.0564,4.0978,4.6510,3.9345,3.7975,0.1370,0.9651755689,0.0348244311
Nordland,109805,1354,590,0.4356069934,4.0589,5.6867,7.2388,5.6652,5.4861,0.1790,0.9683975347,0.0316024653
Helgeland,62630,752,418,0.5558510638,5.9365,6.2468,9.5369,7.2279,7.0315,0.1964,0.9728333557,0.0271666443
Nord-Trøndelag,106379,1346,710,0.5272412085,5.0234,6.3795,10.1729,7.1786,6.5067,0.6719,0.9064018337,0.0935981663
St. Olav,262229,3460,2360,0.6820809249,7.0100,9.1050,11.0186,9.0600,5.2192,3.8408,0.5760718187,0.4239281813
Møre og Romsdal,208635,2751,1681,0.6109764962,7.0996,8.5159,9.6740,8.4281,8.0498,0.3783,0.955116915,0.044883085
Førde,85097,896,672,0.7500929714,6.9835,8.5716,9.8168,8.4588,7.9497,0.5091,0.9398178678,0.0601821322
Bergen,355587,3645,1698,0.4658010241,3.6025,4.4958,6.0663,4.7275,2.5636,2.1639,0.5422710481,0.4577289519
Fonna,139728,1556,489,0.3142673522,3.0309,3.4564,4.2995,3.5954,3.0888,0.5066,0.8591029012,0.1408970988
Stavanger,279974,3142,970,0.3086144706,2.7331,3.3962,3.7587,3.3000,3.1926,0.1074,0.9674522948,0.0325477052
Østfold,249593,3591,1910,0.5318852687,6.4675,7.5660,9.3156,7.7855,3.5296,4.2559,0.4533558968,0.5466441032
Akershus,442958,6090,4208,0.6909140668,6.7777,8.7812,11.8640,9.1641,3.2158,5.9483,0.3509133353,0.6490866647
OUS,215555,2771,2090,0.7540293481,7.9389,8.8196,10.8406,9.2090,1.2464,7.9627,0.135340219,0.864659781
Lovisenberg,132850,1620,1047,0.6463690599,6.4463,6.5209,8.3633,7.1283,0.9146,6.2137,0.1283097592,0.8716902408
Diakonhjemmet,116260,1275,1138,0.8925209205,8.6840,9.3223,10.9002,9.6437,1.0989,8.5448,0.1139479904,0.8860520096
Innlandet,273677,3816,1654,0.4335255066,5.4726,6.1375,7.5406,6.3810,3.9259,2.4552,0.6152373204,0.3847626796
Vestre Viken,378757,5125,3290,0.6418861789,7.0011,7.6685,11.0426,8.5760,1.7380,6.8381,0.2026543936,0.7973456064
Vestfold,194234,2514,1410,0.5608591885,6.1214,6.9869,8.8050,7.3087,5.8750,1.4337,0.8038384716,0.1961615284
Telemark,139029,1631,642,0.3938279174,3.3430,4.3280,6.9270,4.8609,3.1628,1.6981,0.6506632637,0.3493367363
Sørlandet,237810,3705,2282,0.6159798452,7.4823,9.8244,11.7355,9.6892,3.2954,6.3938,0.3401137737,0.6598862263
Norge,4207096,53627,30073,0.5607747341,5.7223,6.9028,8.8030,7.1490,3.6034,3.5456,0.5040408089,0.4959591911
