bohf,innbyggere,pasienter,ratesnitt,rate2018,rate2019,rate2020,ant_botox_pas,botox_off_rate,ant_botox_off,botox_avt_rate,ant_botox_avt,botox_begge_rate,ant_botox_begge,andel3_btx_off,andel3_btx_avt,andel3_btx_begge,andel3_btx_ikkeoff
Finnmark,60708,671,6.9080,5.9056,8.0528,6.5521,46,5.9522,39,0.3908,2,0.5650,4,0.8616428425,0.0565668048,0.0817903526,0.1383571575
UNN,155601,1915,5.8405,5.1052,6.8561,5.6351,112,5.4191,103,0.2407,5,0.1807,4,0.9278389792,0.0412204097,0.0309406111,0.0721610208
Nordland,109805,1354,6.7220,5.3522,7.7627,7.0426,91,6.4346,87,0.0488,1,0.2386,3,0.9572477261,0.0072618653,0.0354904087,0.0427522739
Helgeland,62630,752,7.9277,6.2408,8.8539,8.7668,59,7.1319,54,0.0499,0,0.7459,5,0.8996157937,0.0062901982,0.0940940082,0.1003842063
Nord-Trøndelag,106379,1346,7.8338,6.9917,8.3102,8.1651,106,6.5602,88,0.9245,13,0.3490,5,0.8374278198,0.1180187244,0.0445534558,0.1625721802
St. Olav,262229,3460,11.9560,10.8229,12.8060,12.2046,411,5.4574,188,4.7581,163,1.7405,60,0.4564541346,0.3979694623,0.1455764031,0.5435458654
Møre og Romsdal,208635,2751,10.2892,10.2107,11.4362,9.2826,282,9.5692,263,0.1442,4,0.5757,15,0.9300265289,0.0140169514,0.0559565197,0.0699734711
Førde,85097,896,17.3475,14.9228,18.6025,18.4030,155,16.2725,146,0.3503,3,0.7246,7,0.9380352849,0.0201954155,0.0417692995,0.0619647151
Bergen,355587,3645,6.5465,5.0257,6.8035,7.7273,237,1.7571,64,2.2215,81,2.5680,93,0.2683998033,0.3393367504,0.3922634463,0.7316001967
Fonna,139728,1556,3.9270,3.2483,4.4554,4.1790,61,3.2720,51,0.2298,4,0.4253,7,0.8331876059,0.0585056716,0.1083067224,0.1668123941
Stavanger,279974,3142,1.8671,1.1392,2.3236,2.1243,60,1.6609,54,0.0844,3,0.1219,4,0.8895337737,0.0451801242,0.0652861021,0.1104662263
Østfold,249593,3591,5.9126,5.6275,6.1302,6.0730,217,1.8253,66,2.4650,91,1.6223,59,0.3087193981,0.4168977935,0.2743828084,0.6912806019
Akershus,442958,6090,10.9992,8.2762,11.0713,13.3763,688,2.8256,177,6.4798,405,1.6938,106,0.256887695,0.5891158188,0.1539964862,0.743112305
OUS,215555,2771,12.0230,11.0733,11.8353,13.1268,334,0.7852,22,9.4824,263,1.7554,49,0.0653066271,0.788687797,0.146005576,0.9346933729
Lovisenberg,132850,1620,11.1261,9.7200,10.4809,13.1019,182,0.4907,8,8.8811,146,1.7542,28,0.0441027292,0.7982288403,0.1576684305,0.9558972708
Diakonhjemmet,116260,1275,14.9012,13.9562,14.2821,16.6393,193,0.4190,5,12.5105,162,1.9717,26,0.0281188164,0.8395609728,0.1323202108,0.9718811836
Innlandet,273677,3816,6.0247,5.0222,6.2681,6.7523,235,3.6025,140,1.6902,67,0.7319,28,0.5979599062,0.2805508839,0.1214892099,0.4020400938
Vestre Viken,378757,5125,9.7027,8.8447,9.5231,10.6898,511,1.6188,84,6.3340,336,1.7498,91,0.1668451882,0.6528132923,0.1803415196,0.8331548118
Vestfold,194234,2514,7.3196,6.5640,7.3655,7.9746,189,5.3992,140,1.4155,35,0.5049,13,0.7376347612,0.1933852218,0.068980017,0.2623652388
Telemark,139029,1631,6.1920,5.3123,5.9152,7.1862,102,3.4143,56,2.0120,33,0.7657,13,0.5514048452,0.3249375917,0.1236575631,0.4485951548
Sørlandet,237810,3705,10.6249,8.9818,11.3172,11.4563,396,2.8042,106,5.8504,218,1.9703,73,0.2639284493,0.5506337162,0.1854378345,0.7360715507
Norge,4207096,53627,8.6646,7.4322,9.0086,9.4647,4667,3.6025,1940,3.7769,2036,1.2852,692,0.4157744795,0.4358941214,0.1483313991,0.5842255205
