bohf,innbyggere,pasienter,prim_rate,primkont_pr_pas,polikont_rate,polikont_pr_pas,rate2018,rate2019,rate2020,rateSnitt,ant_legekons,legekons_pr_pas,FLLV_rate,andel_prim_kont,andel_poli_kont
Finnmark,75835,367,0.6263,1.80835604,4.7792,0.9718437784,12.9985,14.2414,13.5038,13.5605,1020,2.7801998183,8.7813687162,0.6475683544,0.3524316456
UNN,194125,1076,0.8637,1.4920979238,5.2337,0.9405020143,13.1556,13.1027,14.0672,13.4381,2617,2.432599938,8.2044154184,0.6105329695,0.3894670305
Nordland,137389,774,0.4367,1.0749031425,7.5167,1.3155402497,12.5438,13.6596,14.5776,13.5954,1851,2.3904433922,6.0787388776,0.4471176819,0.5528823181
Helgeland,78318,404,0.7092,0.9752679308,5.5124,1.0469909316,9.7563,9.9832,12.0477,10.5831,818,2.0222588623,5.0706858417,0.4791292269,0.5208707731
Nord-Trøndelag,135344,824,1.0283,1.0866046135,6.5166,1.0635370295,12.6582,12.5574,14.0794,13.1080,1771,2.1501416431,6.5913575932,0.5028498709,0.4971501291
St. Olav,330219,1710,0.8097,1.1522713979,6.0423,1.1680639501,11.5941,11.0420,13.3977,12.0186,3967,2.320335348,5.9763346618,0.4972557656,0.5027442344
Møre og Romsdal,264876,1442,0.6950,1.1826589595,7.6747,1.4048554913,13.7195,13.1543,15.4568,14.1064,3730,2.5875144509,6.4316315466,0.455938673,0.544061327
Førde,108694,561,0.9144,1.208432304,4.9184,0.9370546318,10.4904,11.5376,11.3515,11.1285,1204,2.1454869359,6.2101398218,0.5580384066,0.4419615934
Bergen,453298,2294,0.5805,0.9713746004,5.9453,1.1897704156,10.4846,10.8208,11.2834,10.8632,4958,2.161145016,4.9179502992,0.4527156765,0.5472843235
Fonna,180479,949,0.8983,1.2080112439,5.2300,1.0077301476,10.9049,10.8292,13.2695,11.6621,2102,2.2157413914,6.4320698149,0.5515364749,0.4484635251
Stavanger,367634,1781,0.6294,1.2852864096,6.1427,1.2860351928,12.7405,12.4045,12.2883,12.4770,4579,2.5713216024,6.3342812071,0.5076779244,0.4923220756
Østfold,314795,1685,0.9743,1.3898338608,5.9833,1.1014636076,13.2722,13.2245,13.6315,13.3780,4199,2.4912974684,7.3947237263,0.5527527598,0.4472472402
Akershus,570206,3032,0.7365,1.3522427441,7.6814,1.4477792436,14.0183,14.8551,15.9283,14.9367,8490,2.8000219877,7.2552435569,0.48573344,0.51426656
OUS,274939,1453,0.5847,1.1750803121,7.8006,1.4648921524,14.1274,13.5845,15.0276,14.2468,3835,2.6399724644,6.4462676724,0.4524703499,0.5475296501
Lovisenberg,155519,727,0.5758,1.1072410632,7.9923,1.4981668194,14.0280,13.9952,13.1409,13.7179,1895,2.6054078827,5.7256300936,0.4173823955,0.5826176045
Diakonhjemmet,142052,649,0.4424,0.9748201439,6.1315,1.3304213772,10.1382,10.4758,11.0436,10.5690,1495,2.3052415211,4.4374458982,0.4198560709,0.5801439291
Innlandet,338615,1971,1.0295,1.1283829499,6.6005,1.0957374831,12.6619,12.5910,14.0034,13.0855,4383,2.224120433,6.4850412846,0.4955882362,0.5044117638
Vestre Viken,485097,2386,0.8091,1.3385496717,5.3800,1.0842531787,11.8427,11.5580,12.6106,12.0066,5780,2.4228028504,6.6265834217,0.5519111796,0.4480888204
Vestfold,244273,1211,0.7404,1.2310022026,5.5237,1.0919603524,11.1176,11.2790,12.5046,11.6364,2812,2.3229625551,6.1127291256,0.5253091216,0.4746908784
Telemark,173355,977,0.6526,1.2184300341,5.6454,0.9825938567,11.6875,12.3755,13.2352,12.4324,2150,2.2010238908,6.7869770591,0.5459093723,0.4540906277
Sørlandet,305410,1597,0.7398,1.2512520868,6.5662,1.2723288815,13.2225,12.2865,13.9604,13.1606,4031,2.5235809683,6.5944208053,0.5010715214,0.4989284786
Norge,5330470,27868,0.7449,1.2232548682,6.3035,1.2055643271,12.3210,12.3435,13.4220,12.6979,67686,2.4288191953,6.3944230917,0.5035814561,0.4964185439
