bohf,innbyggere,pasienter,kontakter_prim,primkont_pr_pas,rate2018,rate2019,rate2020,rateSnitt,FL_rate,LV_rate,andel_FL_kont,andel_LV_kont
Finnmark,60708,128,284,2.2245430809,4.8851,4.4526,4.2281,4.5158,4.2016,0.3142,0.9304153539,0.0695846461
UNN,155601,429,1037,2.4164724165,6.1604,6.0764,6.5108,6.2531,5.9113,0.3418,0.945341304,0.054658696
Nordland,109805,309,585,1.8941684665,4.5398,4.5952,5.0931,4.7476,4.4735,0.2741,0.942264182,0.057735818
Helgeland,62630,235,465,1.9759206799,6.4476,6.3557,5.8927,6.2201,5.6712,0.5489,0.9117495558,0.0882504442
Nord-Trøndelag,106379,379,751,1.9832746479,6.1321,6.1131,6.1894,6.1401,5.9075,0.2326,0.9621122014,0.0378877986
St. Olav,262229,678,1298,1.9158878505,4.8163,4.8957,5.8048,5.1794,4.9867,0.1926,0.962805505,0.037194495
Møre og Romsdal,208635,697,1420,2.0358508604,6.4261,5.9630,6.0460,6.1395,5.9138,0.2258,0.9632286395,0.0367713605
Førde,85097,280,642,2.2967818832,6.5167,6.3401,6.6569,6.4923,6.1380,0.3543,0.9454229477,0.0545770523
Bergen,355587,959,1812,1.8884642113,5.5423,4.9554,5.7880,5.4295,5.2741,0.1554,0.9713849222,0.0286150778
Fonna,139728,461,1064,2.3087490962,7.1098,7.0089,7.3402,7.1525,6.9908,0.1617,0.9773935839,0.0226064161
Stavanger,279974,641,1507,2.3515340614,6.3574,6.4041,6.1189,6.2878,6.1115,0.1763,0.971965589,0.028034411
Østfold,249593,780,1617,2.0726185391,6.2717,5.7149,5.8079,5.9314,5.6957,0.2357,0.9602606499,0.0397393501
Akershus,442958,991,2355,2.3752521856,5.4369,5.0835,6.1444,5.5641,5.3911,0.1731,0.9688988922,0.0311011078
OUS,215555,445,1044,2.3443113772,5.8961,6.3011,6.8991,6.3781,6.2416,0.1365,0.9785942377,0.0214057623
Lovisenberg,132850,128,251,1.9660574413,4.9654,5.1887,6.3282,5.5220,5.3764,0.1456,0.9736311719,0.0263688281
Diakonhjemmet,116260,330,705,2.1395348837,6.0517,6.2879,7.5865,6.6413,6.5225,0.1188,0.982108978,0.017891022
Innlandet,273677,815,1747,2.1422730989,5.2684,5.2092,5.4184,5.3042,5.1782,0.1260,0.9762453891,0.0237546109
Vestre Viken,378757,1087,2690,2.4754601227,6.6330,6.6100,7.2384,6.8332,6.5986,0.2346,0.9656671661,0.0343328339
Vestfold,194234,549,1169,2.1287188828,5.6435,5.1302,5.5719,5.4513,5.3117,0.1396,0.9743987206,0.0256012794
Telemark,139029,385,667,1.7333333333,4.3571,4.0165,4.1122,4.1594,4.0774,0.0820,0.9802892744,0.0197107256
Sørlandet,237810,667,1550,2.3233383308,6.5560,6.1631,6.5582,6.4178,6.2450,0.1728,0.973070258,0.026929742
Norge,4207096,11373,24660,2.168327569,5.8389,5.6373,6.0907,5.8576,5.6598,0.1977,0.9662450395,0.0337549605
